0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0
0,1,0,0,1,1,1,0,0,0,0,0,4
0,1,0,0,1,1,1,0,0,0,0,0,4
0,1,0,0,1,1,1,0,0,0,0,0,4
0,1,0,0,1,1,1,0,0,0,0,0,5
0,1,0,0,1,1,1,0,0,0,0,0,5
0,1,0,0,1,1,1,0,0,0,0,0,5
0,1,0,0,1,1,1,0,0,0,0,0,5
0,1,0,0,1,1,1,0,0,0,0,0,6
0,1,0,0,1,1,1,0,0,0,0,0,6
0,1,0,0,1,1,1,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,1,1,1,7
1,0,0,0,0,0,0,0,0,1,1,1,7
1,0,0,0,0,0,0,0,0,1,1,1,7
1,0,0,0,0,0,0,0,0,1,1,1,7
1,0,0,0,0,0,0,0,0,1,1,1,7
1,0,0,0,0,0,0,0,0,1,1,1,7
1,0,0,0,0,0,0,0,0,1,1,1,7
1,0,0,0,0,0,0,0,0,1,1,1,8
1,0,0,0,0,0,0,0,0,1,1,1,8
1,0,0,0,0,0,0,0,0,1,1,1,8
1,0,0,0,0,0,0,0,0,1,1,1,8
